gun,state,year,count_guns,latitude,longitude,n_killed,n_injured,fip,state_abbr,population,count_total_guns,gun_percentage,total_guns_per_1M
Rifle,Connecticut,2018,4,41.385575,-72.850925,0,1,9,CT,3571520,92,4.3478260869565215,25.75934056088164
Shotgun,Connecticut,2018,4,41.52056666666667,-72.7895,0,2,9,CT,3571520,92,4.3478260869565215,25.75934056088164
12 gauge,Delaware,2016,5,39.35898,-75.51534000000001,0,0,10,DE,948921,135,3.7037037037037037,142.26684834670115
22 LR,Delaware,2016,9,39.11229999999999,-75.54805555555555,0,2,10,DE,948921,135,6.666666666666667,142.26684834670115
25 Auto,Delaware,2016,1,39.7558,-75.538,0,0,10,DE,948921,135,0.7407407407407407,142.26684834670115
308 Win,Delaware,2016,1,39.7485,-75.5281,0,0,10,DE,948921,135,0.7407407407407407,142.26684834670115
32 Auto,Delaware,2016,2,39.45355,-75.5249,0,0,10,DE,948921,135,1.4814814814814814,142.26684834670115
357 Mag,Delaware,2016,3,39.109100000000005,-75.5114,0,0,10,DE,948921,135,2.2222222222222223,142.26684834670115
38 Spl,Delaware,2016,10,39.32779,-75.55510000000001,0,1,10,DE,948921,135,7.407407407407407,142.26684834670115
380 Auto,Delaware,2016,8,39.30664999999999,-75.53738750000001,0,0,10,DE,948921,135,5.925925925925926,142.26684834670115
40 SW,Delaware,2016,8,39.194857142857146,-75.5585,0,2,10,DE,948921,135,5.925925925925926,142.26684834670115
45 Auto,Delaware,2016,4,39.056475,-75.56947500000001,0,1,10,DE,948921,135,2.962962962962963,142.26684834670115
9mm,Delaware,2016,26,39.415824,-75.53426000000002,0,2,10,DE,948921,135,19.25925925925926,142.26684834670115
Handgun,Delaware,2016,32,39.48076206896552,-75.57133793103448,1,6,10,DE,948921,135,23.703703703703702,142.26684834670115
Other,Delaware,2016,1,39.7485,-75.5281,0,0,10,DE,948921,135,0.7407407407407407,142.26684834670115
Rifle,Delaware,2016,14,38.82710714285715,-75.59628571428573,0,3,10,DE,948921,135,10.37037037037037,142.26684834670115
Shotgun,Delaware,2016,11,38.96542727272728,-75.55127272727273,0,1,10,DE,948921,135,8.148148148148149,142.26684834670115
12 gauge,Delaware,2017,1,38.6081,-75.1939,0,0,10,DE,956823,125,0.8,130.64067230825347
22 LR,Delaware,2017,7,39.148142857142865,-75.4811,0,2,10,DE,956823,125,5.6,130.64067230825347
25 Auto,Delaware,2017,3,39.359366666666666,-75.53243333333334,0,0,10,DE,956823,125,2.4,130.64067230825347
32 Auto,Delaware,2017,2,39.47595,-75.49555000000001,0,0,10,DE,956823,125,1.6,130.64067230825347
357 Mag,Delaware,2017,2,39.458349999999996,-75.54505,0,0,10,DE,956823,125,1.6,130.64067230825347
38 Spl,Delaware,2017,6,39.22805,-75.51905,1,2,10,DE,956823,125,4.8,130.64067230825347
380 Auto,Delaware,2017,3,39.37753333333333,-75.54653333333333,0,0,10,DE,956823,125,2.4,130.64067230825347
40 SW,Delaware,2017,6,39.44403333333333,-75.58475,1,0,10,DE,956823,125,4.8,130.64067230825347
45 Auto,Delaware,2017,4,39.1211,-75.519275,0,0,10,DE,956823,125,3.2,130.64067230825347
9mm,Delaware,2017,18,39.40004375000001,-75.52016875000001,1,0,10,DE,956823,125,14.4,130.64067230825347
Handgun,Delaware,2017,64,39.24887419354842,-75.51539516129034,3,14,10,DE,956823,125,51.2,130.64067230825347
Other,Delaware,2017,1,38.8771,-75.5112,0,0,10,DE,956823,125,0.8,130.64067230825347
Rifle,Delaware,2017,2,39.11755,-75.52155,0,0,10,DE,956823,125,1.6,130.64067230825347
Shotgun,Delaware,2017,6,39.27224999999999,-75.53026666666666,0,0,10,DE,956823,125,4.8,130.64067230825347
