gun,month,year,count_guns,latitude,longitude,n_killed,n_injured,count_total_guns,gun_percentage,date
Handgun,12,2014,285,39.7077281690141,-88.6621450704226,32,94,967,29.472595656670112,2014-12-01
Other,12,2014,29,37.08350000000001,-86.79801785714287,1,8,967,2.998965873836608,2014-12-01
Rifle,12,2014,68,38.807082352941144,-88.91807647058828,5,10,967,7.0320579110651495,2014-12-01
Shotgun,12,2014,67,39.175153846153826,-87.31454923076925,11,13,967,6.928645294725957,2014-12-01
20 gauge,6,2014,2,43.564499999999995,-100.73825,0,0,129,1.550387596899225,2014-06-01
22 LR,6,2014,10,41.814750000000004,-84.63082999999999,4,1,129,7.751937984496124,2014-06-01
25 Auto,6,2014,4,41.128275,-81.35555,1,0,129,3.10077519379845,2014-06-01
357 Mag,6,2014,2,37.2534,-96.7886,1,1,129,1.550387596899225,2014-06-01
38 Spl,6,2014,1,41.1724,-73.1903,0,0,129,0.7751937984496124,2014-06-01
380 Auto,6,2014,1,43.6169,-116.201,0,0,129,0.7751937984496124,2014-06-01
40 SW,6,2014,3,36.01056666666667,-110.07616666666667,2,9,129,2.3255813953488373,2014-06-01
44 Mag,6,2014,1,39.3388,-120.97,0,2,129,0.7751937984496124,2014-06-01
45 Auto,6,2014,6,34.13511666666667,-97.03396666666667,3,4,129,4.651162790697675,2014-06-01
9mm,6,2014,17,40.16359333333333,-93.21819333333336,8,17,129,13.178294573643411,2014-06-01
Handgun,6,2014,44,42.213861363636376,-108.84595227272733,13,6,129,34.10852713178294,2014-06-01
Other,6,2014,3,41.55996666666667,-92.07933333333334,0,3,129,2.3255813953488373,2014-06-01
Rifle,6,2014,13,40.59226153846154,-103.90667692307693,4,2,129,10.077519379844961,2014-06-01
Shotgun,6,2014,22,40.85078181818181,-95.4050090909091,4,3,129,17.05426356589147,2014-06-01
22 LR,1,2013,1,34.9791,-106.716,5,0,5,20.0,2013-01-01
Handgun,1,2013,3,37.04193333333333,-78.96183333333333,4,9,5,60.0,2013-01-01
Shotgun,1,2013,1,29.8816,-91.5251,2,3,5,20.0,2013-01-01
22 LR,2,2014,9,38.749100000000006,-92.4981111111111,3,2,63,14.285714285714286,2014-02-01
32 Auto,2,2014,1,42.88,-78.8599,0,0,63,1.5873015873015872,2014-02-01
357 Mag,2,2014,1,35.8292,-90.7258,0,0,63,1.5873015873015872,2014-02-01
38 Spl,2,2014,4,42.242925,-111.68705,0,2,63,6.349206349206349,2014-02-01
380 Auto,2,2014,1,41.2213,-73.1932,0,0,63,1.5873015873015872,2014-02-01
40 SW,2,2014,5,44.2668,-120.32296,1,1,63,7.936507936507937,2014-02-01
45 Auto,2,2014,6,32.95252000000001,-92.64802,0,1,63,9.523809523809524,2014-02-01
