state,year,gun,count_guns,latitude,longitude,mean_n_killed,mean_n_injured,count_handgun,count_shotgun,fip,state_abbr,population
Alaska,2015,30-06 Spr,12,62.79537500000001,-145.65983333333335,0.0,0.0,0,0,2, AK,737498
Alaska,2015,30-30 Win,3,63.363,-152.09733333333332,0.0,0.0,0,0,2, AK,737498
Alaska,2015,300 Win,1,57.7926,-152.40200000000002,0.0,0.0,0,0,2, AK,737498
Alaska,2015,308 Win,2,61.34095000000001,-150.0805,0.0,0.0,0,0,2, AK,737498
Alaska,2015,357 Mag,6,61.52610000000001,-143.95716666666667,0.0,0.16666666666666666,0,0,2, AK,737498
Alaska,2015,38 Spl,4,60.480925,-146.06525000000002,0.0,0.25,0,0,2, AK,737498
Alaska,2015,380 Auto,9,62.01316666666667,-149.43133333333333,0.1111111111111111,0.0,0,0,2, AK,737498
Alaska,2015,40 SW,10,64.45969,-147.88460000000003,0.2,0.3,0,0,2, AK,737498
Alaska,2015,44 Mag,9,61.1766875,-147.88475,0.2222222222222222,0.3333333333333333,0,0,2, AK,737498
Alaska,2015,45 Auto,21,62.13876666666666,-146.97071428571428,0.047619047619047616,0.0,0,0,2, AK,737498
Alaska,2015,9mm,15,62.38424666666666,-147.7488666666667,0.06666666666666667,0.0,0,0,2, AK,737498
Alaska,2015,Handgun,54,61.7331725490196,-147.3273137254902,0.09259259259259259,0.3148148148148148,54,0,2, AK,737498
Alaska,2015,Other,6,63.56158333333334,-147.7255,0.0,0.0,0,0,2, AK,737498
Alaska,2015,Rifle,24,61.69241249999999,-151.00525000000002,0.041666666666666664,0.08333333333333333,0,0,2, AK,737498
Alaska,2015,Shotgun,16,61.97723125,-150.7041875,0.125,0.0,0,16,2, AK,737498
Alaska,2015,Unknown,21,62.39281052631577,-148.88794736842107,0.38095238095238093,0.2857142857142857,0,0,2, AK,737498
Alaska,2016,10mm,1,61.5803,-149.611,1.0,0.0,0,0,2, AK,741456
Alaska,2016,12 gauge,5,62.62388,-155.93720000000002,0.2,0.0,0,0,2, AK,741456
Alaska,2016,20 gauge,1,60.7922,-161.756,0.0,0.0,0,0,2, AK,741456
Alaska,2016,22 LR,12,62.13459166666667,-145.84491666666668,0.08333333333333333,0.08333333333333333,0,0,2, AK,741456
Alaska,2016,25 Auto,1,64.8253,-147.72799999999998,0.0,0.0,0,0,2, AK,741456
Alaska,2016,30-06 Spr,4,63.72563333333334,-153.71699999999998,0.0,0.25,0,0,2, AK,741456
Alaska,2016,30-30 Win,2,62.66315,-149.459,0.0,0.0,0,0,2, AK,741456
Alaska,2016,300 Win,2,61.787,-156.615,0.0,0.0,0,0,2, AK,741456
Alaska,2016,308 Win,2,64.8177,-147.606,0.0,0.0,0,0,2, AK,741456
Alaska,2016,32 Auto,1,61.5807,-149.429,0.0,0.0,0,0,2, AK,741456
Alaska,2016,357 Mag,10,62.20195714285715,-151.87628571428573,0.7,0.3,0,0,2, AK,741456
Alaska,2016,38 Spl,3,62.24953333333334,-148.797,0.0,0.3333333333333333,0,0,2, AK,741456
Alaska,2016,380 Auto,2,62.57875,-154.32150000000001,0.0,0.5,0,0,2, AK,741456
Alaska,2016,40 SW,10,63.44340000000001,-149.27499999999998,0.3,0.1,0,0,2, AK,741456
Alaska,2016,44 Mag,1,64.7791,-147.369,0.0,0.0,0,0,2, AK,741456
Alaska,2016,45 Auto,13,63.10588181818182,-148.9251818181818,0.0,0.07692307692307693,0,0,2, AK,741456
Alaska,2016,9mm,10,62.13256999999999,-145.8811,0.0,0.3,0,0,2, AK,741456
Alaska,2016,Handgun,99,61.48290515463918,-146.64630927835054,0.12121212121212122,0.15151515151515152,99,0,2, AK,741456
Alaska,2016,Other,13,61.96850000000001,-145.70681818181816,0.23076923076923078,0.07692307692307693,0,0,2, AK,741456
Alaska,2016,Rifle,33,60.97762903225808,-144.84029032258064,0.030303030303030304,0.15151515151515152,0,0,2, AK,741456
Alaska,2016,Shotgun,28,62.02599999999999,-147.65569230769228,0.07142857142857142,0.2857142857142857,0,28,2, AK,741456
Alaska,2016,Unknown,168,61.80976928104582,-147.8010326797386,0.20238095238095238,0.20238095238095238,0,0,2, AK,741456
Alaska,2017,10mm,2,64.85025,-147.78699999999998,0.0,0.0,0,0,2, AK,739700
Alaska,2017,12 gauge,3,65.45746666666666,-154.39766666666665,0.6666666666666666,0.0,0,0,2, AK,739700
Alaska,2017,20 gauge,1,60.5283,-150.8,0.0,0.0,0,0,2, AK,739700
Alaska,2017,22 LR,3,62.92046666666667,-151.33266666666665,0.0,0.0,0,0,2, AK,739700
Alaska,2017,30-06 Spr,2,61.692750000000004,-147.5095,0.0,0.0,0,0,2, AK,739700
Alaska,2017,32 Auto,1,64.8136,-147.436,0.0,0.0,0,0,2, AK,739700
Alaska,2017,357 Mag,1,64.8139,-147.613,0.0,0.0,0,0,2, AK,739700
Alaska,2017,380 Auto,7,63.26672857142857,-148.56985714285716,0.2857142857142857,0.0,0,0,2, AK,739700
Alaska,2017,40 SW,3,58.347366666666666,-144.80233333333334,0.0,0.0,0,0,2, AK,739700
Alaska,2017,44 Mag,3,59.07613333333333,-137.39966666666666,0.0,0.0,0,0,2, AK,739700
Alaska,2017,45 Auto,5,64.01842,-148.4022,0.0,0.0,0,0,2, AK,739700
Alaska,2017,9mm,5,62.9144,-144.49719999999996,0.0,0.0,0,0,2, AK,739700
Alaska,2017,Handgun,45,62.074571111111084,-148.1989333333333,0.1111111111111111,0.2222222222222222,45,0,2, AK,739700
Alaska,2017,Other,4,60.093825,-147.50475,0.25,0.0,0,0,2, AK,739700
Alaska,2017,Rifle,13,60.38793076923077,-148.93707692307694,0.07692307692307693,0.15384615384615385,0,0,2, AK,739700
Alaska,2017,Shotgun,14,63.32052857142857,-152.06828571428574,0.14285714285714285,0.14285714285714285,0,14,2, AK,739700
