state,year,count_perpetrators,latitude,longitude,mean_n_killed,mean_n_injured,mean_age,count_underages,count_males,count_females,fip,state_abbr,population,underages_ratio,male_pctg,female_pctg,perpetrators_per_1M
Colorado,2014,413,39.28733941605838,-105.01372749391729,0.2324455205811138,0.26150121065375304,31.073298429319372,21.0,345,31,8,CO,5350101,0.05084745762711865,91.75531914893617,8.24468085106383,77.19480435976816
Colorado,2015,632,39.24922355769233,-105.15077083333337,0.22943037974683544,0.3370253164556962,31.71794871794872,34.0,529,44,8,CO,5450623,0.05379746835443038,92.32111692844677,7.678883071553229,115.95004827888482
Colorado,2016,778,39.22170709117231,-105.27037771345887,0.2455012853470437,0.34704370179948585,31.19463087248322,44.0,595,64,8,CO,5539215,0.056555269922879174,90.28831562974203,9.711684370257966,140.4531147464036
Colorado,2017,828,39.29018024691358,-105.3266135802469,0.2246376811594203,0.2717391304347826,31.15267175572519,41.0,597,70,8,CO,5611885,0.049516908212560384,89.50524737631184,10.494752623688155,147.5440070493248
Colorado,2018,183,39.23928742514974,-105.34665868263471,0.2568306010928962,0.34972677595628415,31.309278350515463,7.0,160,6,8,CO,5691287,0.03825136612021858,96.3855421686747,3.6144578313253013,32.15441428274483
Connecticut,2013,4,41.24205,-73.122625,1.0,4.25,22.75,0.0,4,0,9,CT,3594841,0.0,100.0,0.0,1.1127056801677737
Connecticut,2014,532,41.43604914933839,-72.88750888468803,0.09586466165413533,0.25,27.366101694915255,37.0,465,15,9,CT,3594524,0.06954887218045112,96.875,3.125,148.00290664355003
Connecticut,2015,673,41.48712477477478,-72.83300405405413,0.10846953937592868,0.32838038632986627,28.316666666666666,47.0,640,29,9,CT,3587122,0.06983655274888559,95.66517189835575,4.334828101644245,187.61558709182458
Connecticut,2016,655,41.42548746031746,-72.91598317460318,0.05801526717557252,0.3526717557251908,29.1131221719457,54.0,587,37,9,CT,3578141,0.08244274809160305,94.07051282051282,5.92948717948718,183.05595000308818
Connecticut,2017,640,41.432338808373636,-72.91317278582933,0.1140625,0.275,29.47285067873303,51.0,581,23,9,CT,3573297,0.0796875,96.19205298013244,3.80794701986755,179.1062987487466
Connecticut,2018,165,41.39338627450981,-72.98917254901954,0.048484848484848485,0.2727272727272727,30.25862068965517,15.0,147,7,9,CT,3571520,0.09090909090909091,95.45454545454545,4.545454545454546,46.19881731027686
Delaware,2013,1,39.7407,-75.5499,3.0,2.0,68.0,0.0,1,0,10,DE,923576,0.0,100.0,0.0,1.0827479276204666
Delaware,2014,442,39.51473105022831,-75.60330068493157,0.05203619909502263,0.24434389140271492,26.094972067039105,38.0,393,20,10,DE,932487,0.08597285067873303,95.15738498789347,4.842615012106537,474.00124612997286
